date,store,dept,category,sales,inventory
2023-01-10,2,3,Grocery,3641,301
2023-01-10,3,1,Electronics,3986,324
2023-01-10,3,2,Clothing,3423,231
2023-01-10,3,3,Grocery,2714,140
2023-01-10,4,1,Electronics,1213,395
2023-01-10,4,2,Clothing,4102,88
2023-01-10,4,3,Grocery,4022,222
2023-01-10,5,1,Electronics,1743,175
2023-01-10,5,2,Clothing,1581,197
2023-01-10,5,3,Grocery,955,366
2023-01-11,1,1,Electronics,1394,410
2023-01-11,1,2,Clothing,2458,50
2023-01-11,1,3,Grocery,2496,397
2023-01-11,2,1,Electronics,4785,240
2023-01-11,2,2,Clothing,2031,418
2023-01-11,2,3,Grocery,1323,466
2023-01-11,3,1,Electronics,633,107
2023-01-11,3,2,Clothing,4127,222
2023-01-11,3,3,Grocery,2352,352
2023-01-11,4,1,Electronics,4675,423
2023-01-11,4,2,Clothing,3784,252
2023-01-11,4,3,Grocery,3311,278
2023-01-11,5,1,Electronics,1750,196
2023-01-11,5,2,Clothing,4012,451
2023-01-11,5,3,Grocery,1756,354
2023-01-12,1,1,Electronics,3986,50
2023-01-12,1,2,Clothing,1896,103
2023-01-12,1,3,Grocery,3830,193
2023-01-12,2,1,Electronics,970,490
2023-01-12,2,2,Clothing,1853,273
2023-01-12,2,3,Grocery,3331,407
2023-01-12,3,1,Electronics,3519,457
2023-01-12,3,2,Clothing,1167,422
2023-01-12,3,3,Grocery,1645,397
2023-01-12,4,1,Electronics,4685,185
2023-01-12,4,2,Clothing,3245,365
2023-01-12,4,3,Grocery,1039,269
2023-01-12,5,1,Electronics,4636,277
2023-01-12,5,2,Clothing,4275,460
2023-01-12,5,3,Grocery,3008,269
2023-01-13,1,1,Electronics,1424,446
2023-01-13,1,2,Clothing,2081,84
2023-01-13,1,3,Grocery,3824,439
2023-01-13,2,1,Electronics,755,246
2023-01-13,2,2,Clothing,2338,458
2023-01-13,2,3,Grocery,509,361
2023-01-13,3,1,Electronics,1297,291
2023-01-13,3,2,Clothing,1515,338
2023-01-13,3,3,Grocery,4969,114
2023-01-13,4,1,Electronics,2693,273
2023-01-13,4,2,Clothing,4658,266
2023-01-13,4,3,Grocery,4425,364
2023-01-13,5,1,Electronics,4500,147
2023-01-13,5,2,Clothing,2652,148
2023-01-13,5,3,Grocery,1010,434
2023-01-14,1,1,Electronics,904,360
2023-01-14,1,2,Clothing,2500,246
2023-01-14,1,3,Grocery,2168,407
2023-01-14,2,1,Electronics,1960,72
2023-01-14,2,2,Clothing,4136,214
2023-01-14,2,3,Grocery,4678,194
2023-01-14,3,1,Electronics,2548,100
2023-01-14,3,2,Clothing,1216,309
2023-01-14,3,3,Grocery,2323,83
2023-01-14,4,1,Electronics,3919,144
2023-01-14,4,2,Clothing,2074,203
2023-01-14,4,3,Grocery,749,211
2023-01-14,5,1,Electronics,2665,308
2023-01-14,5,2,Clothing,4462,355
2023-01-14,5,3,Grocery,4863,498
2023-01-15,1,1,Electronics,1577,285
2023-01-15,1,2,Clothing,888,271
2023-01-15,1,3,Grocery,2348,450
2023-01-15,2,1,Electronics,3314,352
2023-01-15,2,2,Clothing,3778,278
2023-01-15,2,3,Grocery,4481,115
2023-01-15,3,1,Electronics,2622,484
2023-01-15,3,2,Clothing,2650,471
2023-01-15,3,3,Grocery,1829,147
2023-01-15,4,1,Electronics,1858,396
2023-01-15,4,2,Clothing,2982,496
2023-01-15,4,3,Grocery,2517,357
2023-01-15,5,1,Electronics,4844,215
2023-01-15,5,2,Clothing,1858,79
2023-01-15,5,3,Grocery,3677,100
2023-01-16,1,1,Electronics,2628,182
2023-01-16,1,2,Clothing,637,233
2023-01-16,1,3,Grocery,3972,379
2023-01-16,2,1,Electronics,3332,389
2023-01-16,2,2,Clothing,3531,118
2023-01-16,2,3,Grocery,3093,311
2023-01-16,3,1,Electronics,4800,175
2023-01-16,3,2,Clothing,4318,92
2023-01-16,3,3,Grocery,4323,420
2023-01-16,4,1,Electronics,1260,200
2023-01-16,4,2,Clothing,3945,449
2023-01-16,4,3,Grocery,1399,409
2023-01-16,5,1,Electronics,3447,233
2023-01-16,5,2,Clothing,780,244
2023-01-16,5,3,Grocery,2387,244
2023-01-17,1,1,Electronics,1166,142
2023-01-17,1,2,Clothing,1171,483
2023-01-17,1,3,Grocery,4656,171
2023-01-17,2,1,Electronics,3622,452
2023-01-17,2,2,Clothing,4400,71
2023-01-17,2,3,Grocery,1023,395
2023-01-17,3,1,Electronics,3617,83
2023-01-17,3,2,Clothing,2468,127
2023-01-17,3,3,Grocery,2253,350
2023-01-17,4,1,Electronics,2796,96
2023-01-17,4,2,Clothing,2761,288
2023-01-17,4,3,Grocery,4702,368
2023-01-17,5,1,Electronics,4643,110
2023-01-17,5,2,Clothing,4932,75
2023-01-17,5,3,Grocery,2555,162
2023-01-18,1,1,Electronics,1776,229
2023-01-18,1,2,Clothing,3266,352
2023-01-18,1,3,Grocery,1138,105
2023-01-18,2,1,Electronics,1025,77
2023-01-18,2,2,Clothing,2625,265
2023-01-18,2,3,Grocery,864,203
2023-01-18,3,1,Electronics,2146,456
2023-01-18,3,2,Clothing,3297,412
2023-01-18,3,3,Grocery,2031,323
2023-01-18,4,1,Electronics,2406,64
2023-01-18,4,2,Clothing,2575,251
2023-01-18,4,3,Grocery,1562,490
2023-01-18,5,1,Electronics,1796,280
2023-01-18,5,2,Clothing,625,349
2023-01-18,5,3,Grocery,4096,261
2023-01-19,1,1,Electronics,2103,443
2023-01-19,1,2,Clothing,566,282
2023-01-19,1,3,Grocery,2656,195
2023-01-19,2,1,Electronics,2658,277
2023-01-19,2,2,Clothing,4706,83
2023-01-19,2,3,Grocery,4507,418
2023-01-19,3,1,Electronics,2972,150
2023-01-19,3,2,Clothing,3239,331
2023-01-19,3,3,Grocery,2261,492
2023-01-19,4,1,Electronics,2475,364
2023-01-19,4,2,Clothing,1376,278
2023-01-19,4,3,Grocery,3948,338
2023-01-19,5,1,Electronics,1960,199
2023-01-19,5,2,Clothing,2824,247
2023-01-19,5,3,Grocery,2105,161
2023-01-20,1,1,Electronics,3063,399
2023-01-20,1,2,Clothing,4017,367
2023-01-20,1,3,Grocery,2897,144
2023-01-20,2,1,Electronics,4235,360
2023-01-20,2,2,Clothing,1660,296
2023-01-20,2,3,Grocery,742,80
2023-01-20,3,1,Electronics,1563,278
2023-01-20,3,2,Clothing,3095,457
2023-01-20,3,3,Grocery,505,371
2023-01-20,4,1,Electronics,967,269
2023-01-20,4,2,Clothing,4670,53
2023-01-20,4,3,Grocery,1145,167
2023-01-20,5,1,Electronics,3428,143
2023-01-20,5,2,Clothing,3051,484
2023-01-20,5,3,Grocery,4789,384
2023-01-21,1,1,Electronics,3262,441
2023-01-21,1,2,Clothing,1641,373
2023-01-21,1,3,Grocery,2310,261
2023-01-21,2,1,Electronics,724,69
2023-01-21,2,2,Clothing,4708,189
2023-01-21,2,3,Grocery,2548,139
2023-01-21,3,1,Electronics,4915,87
2023-01-21,3,2,Clothing,2328,431
2023-01-21,3,3,Grocery,4734,405
2023-01-21,4,1,Electronics,2526,308
2023-01-21,4,2,Clothing,4244,439
2023-01-21,4,3,Grocery,2539,59
2023-01-21,5,1,Electronics,760,456
2023-01-21,5,2,Clothing,2173,221
2023-01-21,5,3,Grocery,2560,217
2023-01-22,1,1,Electronics,4213,133
2023-01-22,1,2,Clothing,820,368
2023-01-22,1,3,Grocery,2876,322
2023-01-22,2,1,Electronics,3324,448
2023-01-22,2,2,Clothing,2538,468
2023-01-22,2,3,Grocery,4177,144
2023-01-22,3,1,Electronics,2104,367
2023-01-22,3,2,Clothing,4527,285
2023-01-22,3,3,Grocery,2469,383
2023-01-22,4,1,Electronics,2408,425
2023-01-22,4,2,Clothing,4030,186
2023-01-22,4,3,Grocery,3135,84
2023-01-22,5,1,Electronics,3060,345
2023-01-22,5,2,Clothing,3891,455
2023-01-22,5,3,Grocery,4143,369
2023-01-23,1,1,Electronics,4350,410
2023-01-23,1,2,Clothing,1752,319
2023-01-23,1,3,Grocery,1814,262
2023-01-23,2,1,Electronics,3398,428
2023-01-23,2,2,Clothing,577,459
2023-01-23,2,3,Grocery,3121,181
2023-01-23,3,1,Electronics,1100,286
2023-01-23,3,2,Clothing,1565,138
2023-01-23,3,3,Grocery,2949,345
2023-01-23,4,1,Electronics,2363,344
2023-01-23,4,2,Clothing,4097,337
2023-01-23,4,3,Grocery,4262,174
2023-01-23,5,1,Electronics,2690,202
2023-01-23,5,2,Clothing,2692,274
2023-01-23,5,3,Grocery,3554,499
2023-01-24,1,1,Electronics,2497,358
2023-01-24,1,2,Clothing,4187,153
2023-01-24,1,3,Grocery,4518,88
2023-01-24,2,1,Electronics,2470,247
2023-01-24,2,2,Clothing,3126,440
2023-01-24,2,3,Grocery,1702,91
2023-01-24,3,1,Electronics,2535,280
2023-01-24,3,2,Clothing,1422,469
2023-01-24,3,3,Grocery,2704,87
2023-01-24,4,1,Electronics,1620,460
2023-01-24,4,2,Clothing,1450,338
2023-01-24,4,3,Grocery,2743,135
2023-01-24,5,1,Electronics,2357,59
2023-01-24,5,2,Clothing,2365,402
2023-01-24,5,3,Grocery,3353,446
2023-01-25,1,1,Electronics,3728,185
2023-01-25,1,2,Clothing,3728,96
2023-01-25,1,3,Grocery,2871,381
2023-01-25,2,1,Electronics,4256,179
2023-01-25,2,2,Clothing,594,164
2023-01-25,2,3,Grocery,2455,341
2023-01-25,3,1,Electronics,1293,348
2023-01-25,3,2,Clothing,2616,197
2023-01-25,3,3,Grocery,4606,303
2023-01-25,4,1,Electronics,3419,87
2023-01-25,4,2,Clothing,3705,249
2023-01-25,4,3,Grocery,1314,395
2023-01-25,5,1,Electronics,2849,412
2023-01-25,5,2,Clothing,2943,267
2023-01-25,5,3,Grocery,2688,153
2023-01-26,1,1,Electronics,3505,259
2023-01-26,1,2,Clothing,1484,160
2023-01-26,1,3,Grocery,2139,365
2023-01-26,2,1,Electronics,3230,405
2023-01-26,2,2,Clothing,3435,342
2023-01-26,2,3,Grocery,626,155
2023-01-26,3,1,Electronics,3556,141
2023-01-26,3,2,Clothing,3949,442
2023-01-26,3,3,Grocery,4646,78
2023-01-26,4,1,Electronics,4033,345
2023-01-26,4,2,Clothing,3868,263
2023-01-26,4,3,Grocery,2292,351
2023-01-26,5,1,Electronics,3976,395
2023-01-26,5,2,Clothing,2145,469
2023-01-26,5,3,Grocery,1705,362
2023-01-27,1,1,Electronics,3572,368
2023-01-27,1,2,Clothing,4521,104
2023-01-27,1,3,Grocery,3208,480
2023-01-27,2,1,Electronics,1832,186
2023-01-27,2,2,Clothing,701,485
2023-01-27,2,3,Grocery,4712,203
2023-01-27,3,1,Electronics,1074,293
2023-01-27,3,2,Clothing,1036,139
2023-01-27,3,3,Grocery,2622,343
2023-01-27,4,1,Electronics,885,440
2023-01-27,4,2,Clothing,3781,467
2023-01-27,4,3,Grocery,4100,177
2023-01-27,5,1,Electronics,1454,413
2023-01-27,5,2,Clothing,1705,201
2023-01-27,5,3,Grocery,4620,229
2023-01-28,1,1,Electronics,4072,393
2023-01-28,1,2,Clothing,4880,112
2023-01-28,1,3,Grocery,3213,205
2023-01-28,2,1,Electronics,3620,386
2023-01-28,2,2,Clothing,3932,226
2023-01-28,2,3,Grocery,4743,167
2023-01-28,3,1,Electronics,841,112
2023-01-28,3,2,Clothing,2224,409
2023-01-28,3,3,Grocery,4922,306
2023-01-28,4,1,Electronics,2259,190
2023-01-28,4,2,Clothing,1489,264
2023-01-28,4,3,Grocery,2982,428
2023-01-28,5,1,Electronics,1451,260
2023-01-28,5,2,Clothing,3889,81
2023-01-28,5,3,Grocery,3217,334
2023-01-29,1,1,Electronics,3876,478
2023-01-29,1,2,Clothing,2000,335
2023-01-29,1,3,Grocery,3995,68
2023-01-29,2,1,Electronics,2565,306
2023-01-29,2,2,Clothing,3557,243
2023-01-29,2,3,Grocery,2661,271
2023-01-29,3,1,Electronics,1446,368
2023-01-29,3,2,Clothing,3835,462
2023-01-29,3,3,Grocery,4650,408
2023-01-29,4,1,Electronics,1981,415
2023-01-29,4,2,Clothing,3951,136
2023-01-29,4,3,Grocery,554,337
2023-01-29,5,1,Electronics,3962,398
2023-01-29,5,2,Clothing,3579,370
2023-01-29,5,3,Grocery,4908,296
2023-01-30,1,1,Electronics,2990,304
2023-01-30,1,2,Clothing,827,103
2023-01-30,1,3,Grocery,3810,278
2023-01-30,2,1,Electronics,4175,313
2023-01-30,2,2,Clothing,2643,137
2023-01-30,2,3,Grocery,1811,169
2023-01-30,3,1,Electronics,3038,449
2023-01-30,3,2,Clothing,664,231
2023-01-30,3,3,Grocery,1322,481
2023-01-30,4,1,Electronics,4925,312
2023-01-30,4,2,Clothing,2698,134
2023-01-30,4,3,Grocery,4742,161
2023-01-30,5,1,Electronics,3952,452
2023-01-30,5,2,Clothing,1808,237
2023-01-30,5,3,Grocery,4677,51
2023-01-31,1,1,Electronics,2420,352
2023-01-31,1,2,Clothing,4094,283
2023-01-31,1,3,Grocery,1909,244
2023-01-31,2,1,Electronics,3690,445
2023-01-31,2,2,Clothing,2055,310
2023-01-31,2,3,Grocery,1304,471
2023-01-31,3,1,Electronics,1779,271
2023-01-31,3,2,Clothing,4077,391
2023-01-31,3,3,Grocery,1887,329
2023-01-31,4,1,Electronics,3261,207
2023-01-31,4,2,Clothing,3179,108
2023-01-31,4,3,Grocery,4723,273
2023-01-31,5,1,Electronics,3268,419
2023-01-31,5,2,Clothing,3686,258
2023-01-31,5,3,Grocery,3073,58
2023-02-01,1,1,Electronics,3099,499
2023-02-01,1,2,Clothing,736,330
2023-02-01,1,3,Grocery,3930,250
2023-02-01,2,1,Electronics,1801,284
2023-02-01,2,2,Clothing,3041,53
2023-02-01,2,3,Grocery,941,78
2023-02-01,3,1,Electronics,3680,147
2023-02-01,3,2,Clothing,4298,342
2023-02-01,3,3,Grocery,574,375
2023-02-01,4,1,Electronics,2675,390
2023-02-01,4,2,Clothing,2589,405
2023-02-01,4,3,Grocery,540,471
2023-02-01,5,1,Electronics,2581,66
2023-02-01,5,2,Clothing,2122,166
2023-02-01,5,3,Grocery,841,76
2023-02-02,1,1,Electronics,1145,268
2023-02-02,1,2,Clothing,4763,147
2023-02-02,1,3,Grocery,954,443
2023-02-02,2,1,Electronics,2208,450
2023-02-02,2,2,Clothing,3469,239
2023-02-02,2,3,Grocery,3181,95
2023-02-02,3,1,Electronics,4725,359
2023-02-02,3,2,Clothing,1886,242
2023-02-02,3,3,Grocery,3366,230
2023-02-02,4,1,Electronics,3863,420
2023-02-02,4,2,Clothing,4624,198
2023-02-02,4,3,Grocery,4350,345
2023-02-02,5,1,Electronics,2558,213
2023-02-02,5,2,Clothing,1636,236
2023-02-02,5,3,Grocery,3354,281
2023-02-03,1,1,Electronics,1750,359
2023-02-03,1,2,Clothing,4693,104
2023-02-03,1,3,Grocery,3211,295
2023-02-03,2,1,Electronics,2285,85
2023-02-03,2,2,Clothing,1250,197
2023-02-03,2,3,Grocery,2262,293
2023-02-03,3,1,Electronics,4420,495
2023-02-03,3,2,Clothing,4960,250
2023-02-03,3,3,Grocery,653,499
2023-02-03,4,1,Electronics,2024,122
2023-02-03,4,2,Clothing,2843,66
2023-02-03,4,3,Grocery,1740,110
2023-02-03,5,1,Electronics,1438,153
2023-02-03,5,2,Clothing,4620,88
2023-02-03,5,3,Grocery,4726,278
2023-02-04,1,1,Electronics,4703,221
2023-02-04,1,2,Clothing,1958,151
2023-02-04,1,3,Grocery,2822,150
2023-02-04,2,1,Electronics,3615,492
2023-02-04,2,2,Clothing,4590,354
2023-02-04,2,3,Grocery,3504,66
2023-02-04,3,1,Electronics,829,106
2023-02-04,3,2,Clothing,4394,352
2023-02-04,3,3,Grocery,4607,367
2023-02-04,4,1,Electronics,4163,265
2023-02-04,4,2,Clothing,838,313
2023-02-04,4,3,Grocery,4562,198
2023-02-04,5,1,Electronics,3652,264
2023-02-04,5,2,Clothing,2921,247
2023-02-04,5,3,Grocery,4226,108
2023-02-05,1,1,Electronics,4493,414
2023-02-05,1,2,Clothing,546,337
2023-02-05,1,3,Grocery,900,456
2023-02-05,2,1,Electronics,3657,299
2023-02-05,2,2,Clothing,890,319
2023-02-05,2,3,Grocery,4930,166
2023-02-05,3,1,Electronics,4732,420
2023-02-05,3,2,Clothing,2021,364
2023-02-05,3,3,Grocery,2000,131
2023-02-05,4,1,Electronics,3794,421
2023-02-05,4,2,Clothing,1434,451
2023-02-05,4,3,Grocery,1966,152
2023-02-05,5,1,Electronics,1682,201
2023-02-05,5,2,Clothing,3167,237
2023-02-05,5,3,Grocery,630,342
2023-02-06,1,1,Electronics,3483,232
2023-02-06,1,2,Clothing,4959,88
2023-02-06,1,3,Grocery,4459,53
2023-02-06,2,1,Electronics,1420,446
2023-02-06,2,2,Clothing,3269,210
2023-02-06,2,3,Grocery,4611,475
2023-02-06,3,1,Electronics,1631,431
2023-02-06,3,2,Clothing,4021,360
2023-02-06,3,3,Grocery,1238,219
2023-02-06,4,1,Electronics,1045,463
2023-02-06,4,2,Clothing,4846,296
2023-02-06,4,3,Grocery,2304,190
2023-02-06,5,1,Electronics,4310,428
2023-02-06,5,2,Clothing,1313,78
2023-02-06,5,3,Grocery,2532,367
2023-02-07,1,1,Electronics,744,285
2023-02-07,1,2,Clothing,771,489
2023-02-07,1,3,Grocery,2271,288
2023-02-07,2,1,Electronics,2924,315
2023-02-07,2,2,Clothing,1420,408
2023-02-07,2,3,Grocery,4935,438
2023-02-07,3,1,Electronics,3124,226
2023-02-07,3,2,Clothing,2550,478
2023-02-07,3,3,Grocery,1665,425
2023-02-07,4,1,Electronics,2533,373
2023-02-07,4,2,Clothing,645,495
2023-02-07,4,3,Grocery,4888,202
2023-02-07,5,1,Electronics,931,242
2023-02-07,5,2,Clothing,3132,448
2023-02-07,5,3,Grocery,1463,189
2023-02-08,1,1,Electronics,2734,342
2023-02-08,1,2,Clothing,2608,476
2023-02-08,1,3,Grocery,1306,489
2023-02-08,2,1,Electronics,3915,60
2023-02-08,2,2,Clothing,2368,275
2023-02-08,2,3,Grocery,1384,292
2023-02-08,3,1,Electronics,4064,415
2023-02-08,3,2,Clothing,3901,156
2023-02-08,3,3,Grocery,4821,362
2023-02-08,4,1,Electronics,2765,474
2023-02-08,4,2,Clothing,3300,308
2023-02-08,4,3,Grocery,4345,54
2023-02-08,5,1,Electronics,2296,103
2023-02-08,5,2,Clothing,1226,226
2023-02-08,5,3,Grocery,3670,69
2023-02-09,1,1,Electronics,2413,290
2023-02-09,1,2,Clothing,2096,428
2023-02-09,1,3,Grocery,2966,227
2023-02-09,2,1,Electronics,1349,111
2023-02-09,2,2,Clothing,502,209
2023-02-09,2,3,Grocery,4569,318
2023-02-09,3,1,Electronics,1392,138
2023-02-09,3,2,Clothing,2876,117
2023-02-09,3,3,Grocery,2433,406
2023-02-09,4,1,Electronics,4181,316
2023-02-09,4,2,Clothing,2140,489
2023-02-09,4,3,Grocery,3182,78
2023-02-09,5,1,Electronics,1718,458
2023-02-09,5,2,Clothing,1855,219
2023-02-09,5,3,Grocery,4635,74
2023-02-10,1,1,Electronics,1918,492
2023-02-10,1,2,Clothing,1483,173
2023-02-10,1,3,Grocery,1474,87
2023-02-10,2,1,Electronics,4472,225
2023-02-10,2,2,Clothing,1413,86
2023-02-10,2,3,Grocery,3887,225
2023-02-10,3,1,Electronics,3520,333
2023-02-10,3,2,Clothing,4536,130
2023-02-10,3,3,Grocery,3611,350
2023-02-10,4,1,Electronics,817,398
2023-02-10,4,2,Clothing,2662,235
2023-02-10,4,3,Grocery,2091,89
2023-02-10,5,1,Electronics,4430,286
2023-02-10,5,2,Clothing,1812,311
2023-02-10,5,3,Grocery,4811,196
2023-02-11,1,1,Electronics,2883,217
2023-02-11,1,2,Clothing,2639,402
2023-02-11,1,3,Grocery,2204,318
2023-02-11,2,1,Electronics,862,94
2023-02-11,2,2,Clothing,2216,219
2023-02-11,2,3,Grocery,4951,240
2023-02-11,3,1,Electronics,4238,471
2023-02-11,3,2,Clothing,1056,363
2023-02-11,3,3,Grocery,3308,80
2023-02-11,4,1,Electronics,3219,412
2023-02-11,4,2,Clothing,4008,207
2023-02-11,4,3,Grocery,2074,464
2023-02-11,5,1,Electronics,2629,405
2023-02-11,5,2,Clothing,3829,255
2023-02-11,5,3,Grocery,1088,61
2023-02-12,1,1,Electronics,794,499
2023-02-12,1,2,Clothing,3617,204
2023-02-12,1,3,Grocery,1636,282
2023-02-12,2,1,Electronics,2564,409
2023-02-12,2,2,Clothing,1507,375
2023-02-12,2,3,Grocery,3014,463
2023-02-12,3,1,Electronics,4026,123
2023-02-12,3,2,Clothing,1747,368
2023-02-12,3,3,Grocery,1935,109
2023-02-12,4,1,Electronics,2882,271
2023-02-12,4,2,Clothing,2584,327
2023-02-12,4,3,Grocery,2387,291
2023-02-12,5,1,Electronics,1540,61
2023-02-12,5,2,Clothing,1417,450
2023-02-12,5,3,Grocery,1385,242
2023-02-13,1,1,Electronics,521,169
2023-02-13,1,2,Clothing,2853,319
2023-02-13,1,3,Grocery,1186,334
2023-02-13,2,1,Electronics,4247,300
2023-02-13,2,2,Clothing,2928,56
2023-02-13,2,3,Grocery,528,444
2023-02-13,3,1,Electronics,3604,183
2023-02-13,3,2,Clothing,4499,484
2023-02-13,3,3,Grocery,3006,107
2023-02-13,4,1,Electronics,4109,479
2023-02-13,4,2,Clothing,3856,53
2023-02-13,4,3,Grocery,538,320
2023-02-13,5,1,Electronics,1386,334
2023-02-13,5,2,Clothing,2704,124
2023-02-13,5,3,Grocery,2323,179
2023-02-14,1,1,Electronics,3655,71
2023-02-14,1,2,Clothing,4030,76
2023-02-14,1,3,Grocery,4278,386
2023-02-14,2,1,Electronics,3953,285
2023-02-14,2,2,Clothing,4011,141
2023-02-14,2,3,Grocery,1488,70
2023-02-14,3,1,Electronics,4526,133
2023-02-14,3,2,Clothing,2182,490
